mode,run_name,session_id,plan_reject_count,planning_failure_count,answer_failure_count,infra_failure_count,other_failure_count,dominant_category,dominant_failure_type,stalled,empty_plan_count,first_error,text_success_attempt,text_success_observe_index,text_total_attempts_until_success,text_total_attempts_observed,text_observe_blocks,text_success_found,image_success_attempt,image_success_observe_index,image_total_attempts_until_success,image_total_attempts_observed,image_observe_blocks,image_success_found,category_planning_format,sample_planning_format,category_planning_completeness,sample_planning_completeness,category_planning_schema_key,sample_planning_schema_key,category_answer_option_mapping,sample_answer_option_mapping,category_answer_value_constraints,sample_answer_value_constraints,category_infra_or_transport,sample_infra_or_transport,category_other,sample_other
completion,run_1,89f0fba9a1de8221d67b45d153885066,5,5,0,0,0,planning_schema_key,planning,False,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,1,2,2,1,True,1,1,1,1,1,True,0,,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",4,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'name', 'value': 'John Doe'}",0,,0,,0,,0,
completion,run_2,4cc2c0dfa1569010a11e63f43e12db58,5,5,0,0,0,planning_schema_key,planning,False,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,1,2,2,1,True,1,1,1,1,1,True,0,,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",4,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'name', 'value': 'John Doe'}",0,,0,,0,,0,
completion,run_3,368c3d28c1b4587a88f770ab31f4d94e,6,6,0,0,0,planning_schema_key,planning,False,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",3,1,3,3,1,True,1,1,1,1,1,True,0,,2,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",4,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'name', 'value': 'John Doe'}",0,,0,,0,,0,
completion,run_4,ec4fc1f9a957b838b9949b270f386aa8,7,7,0,0,0,planning_schema_key,planning,False,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",3,1,3,3,1,True,1,1,1,1,1,True,1,"LLM did not return JSON array. Raw:  [{""tool"":""fill"",""key"":""name"",""value"":""John Doe""},  {""tool"":""fill"",""key"":""email"",""value"":""johndoe@example.com""},  {""tool"":""select"",""key"":""gender"",""value"":""Male""},  {""tool"":""check"",""key",2,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",4,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'name', 'value': 'John Doe'}",0,,0,,0,,0,
completion,run_5,43ec7f65dc7e89107cf8070dc8c39169,6,6,0,0,0,planning_schema_key,planning,False,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,1,2,2,1,True,1,1,1,1,1,True,1,"LLM did not return JSON array. Raw:  [   {""tool"":""fill"", ""key"": ""name"", ""value"": ""John Doe""},   {""tool"":""fill"", ""key"": ""email"", ""value"": ""johndoe@example.com""},   {""tool"":""select"", ""key"": ""gender"", ""value"": ""Male""},   {""",1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",4,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'name', 'value': 'John Doe'}",0,,0,,0,,0,
completion,run_6,ef711190b6bde6a9ad309241cdc9b2d2,14,14,0,0,0,planning_completeness,planning,False,4,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,4,11,11,4,True,2,1,2,2,1,True,0,,11,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",3,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'firstName', 'value': 'John'}",0,,0,,0,,0,
completion,run_7,9a990cb0d7234a8fa38f0d2803ed6565,5,5,0,0,0,planning_schema_key,planning,False,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,1,2,2,1,True,1,1,1,1,1,True,1,"LLM did not return JSON array. Raw:  [{""tool"":""fill"",""key"":""name"",""value"":""John Doe""},  {""tool"":""fill"",""key"":""email"",""value"":""johndoe@example.com""},  {""tool"":""select"",""key"":""gender"",""value"":""Male""},  {""tool"":""check"",""key",1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",3,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'firstName', 'value': 'John'}",0,,0,,0,,0,
completion,run_8,f4e8b21fce96908ba7ac64437b30233b,10,10,0,0,0,planning_completeness,planning,False,2,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",3,1,3,3,1,True,3,1,3,3,1,True,0,,6,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",4,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'name', 'value': 'John Doe'}",0,,0,,0,,0,
completion,run_9,dee001136725cc2b15887c93e028ee59,6,6,0,0,0,planning_schema_key,planning,False,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,1,2,2,1,True,2,1,2,2,1,True,0,,2,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",4,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'name', 'value': 'John Doe'}",0,,0,,0,,0,
completion,run_10,d460884e551f060a0359466e2d34b5fe,6,6,0,0,0,planning_schema_key,planning,False,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",3,1,3,3,1,True,1,1,1,1,1,True,0,,2,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",4,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'name', 'value': 'John Doe'}",0,,0,,0,,0,
completion,run_11,ec28b668686ef4660e721a96bd3f4e93,12,12,0,0,0,planning_completeness,planning,False,3,Completion mode requires answering all answerable items before navigation; missing keys: ['mood_impact'],3,3,9,9,3,True,1,1,1,1,1,True,0,,8,Completion mode requires answering all answerable items before navigation; missing keys: ['mood_impact'],4,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'name', 'value': 'John Doe'}",0,,0,,0,,0,
completion,run_12,7339fe964d7dbd33adca9dcad0d1fe24,5,5,0,0,0,planning_schema_key,planning,False,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,1,2,2,1,True,1,1,1,1,1,True,0,,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",4,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'name', 'value': 'John Doe'}",0,,0,,0,,0,
completion,run_13,78f28c9e30b46bc6c1187bc009e9ce8b,6,6,0,0,0,planning_schema_key,planning,False,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,1,2,2,1,True,1,1,1,1,1,True,1,"LLM did not return JSON array. Raw:  [   {""tool"":""fill"", ""key"": ""name"", ""value"": ""John Doe""},   {""tool"":""fill"", ""key"": ""email"", ""value"": ""johndoe@example.com""},   {""tool"":""select"", ""key"": ""gender"", ""value"": ""Male""},   {""",1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",4,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'name', 'value': 'John Doe'}",0,,0,,0,,0,
completion,run_14,2b29be6fd847b14d29c960997c1a821d,5,5,0,0,0,planning_schema_key,planning,False,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,1,2,2,1,True,1,1,1,1,1,True,0,,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",4,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'name', 'value': 'John Doe'}",0,,0,,0,,0,
completion,run_15,1d74823499369b7f113fd44bf93f52a2,5,5,0,0,0,planning_schema_key,planning,False,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,1,2,2,1,True,1,1,1,1,1,True,0,,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",4,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'firstName', 'value': 'John'}",0,,0,,0,,0,
completion,run_16,7c2f9269acb50bedd28c9b7b7d3d5187,7,7,0,0,0,planning_schema_key,planning,False,2,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,1,2,2,1,True,1,1,1,1,1,True,0,,3,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",4,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'firstName', 'value': 'John'}",0,,0,,0,,0,
completion,run_17,f45ccc46f107a8d763357a04e5637d01,2,2,0,0,0,planning_schema_key,planning,False,0,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,1,2,2,1,True,1,1,1,1,1,True,0,,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",1,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'firstName', 'value': 'John'}",0,,0,,0,,0,
completion,run_18,b037b45112667ef63f60ca105f0b3219,6,6,0,0,0,planning_schema_key,planning,False,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",3,1,3,3,1,True,1,1,1,1,1,True,0,,2,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",4,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'name', 'value': 'John Doe'}",0,,0,,0,,0,
completion,run_19,0aae6f5117445c4d5705006abd803033,4,4,0,0,0,planning_schema_key,planning,False,1,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'name', 'value': 'John Doe'}",1,1,1,1,1,True,1,1,1,1,1,True,0,,0,,4,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'name', 'value': 'John Doe'}",0,,0,,0,,0,
completion,run_20,93c5585818e68c9ec8760403aa2d2ecb,5,5,0,0,0,planning_schema_key,planning,False,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,1,2,2,1,True,1,1,1,1,1,True,0,,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",4,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'firstName', 'value': 'John'}",0,,0,,0,,0,
completion,run_21,b31cb0a983d8e32c4dfbbba1bf6d12be,5,5,0,0,0,planning_schema_key,planning,False,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,1,2,2,1,True,1,1,1,1,1,True,1,"LLM did not return JSON array. Raw:  [{""tool"":""fill"",""key"":""name"",""value"":""John Doe""},  {""tool"":""fill"",""key"":""email"",""value"":""johndoe@example.com""},  {""tool"":""select"",""key"":""age_group"",""value"":""25-34""},  {""tool"":""check"",",1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",3,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'first_name', 'value': 'John'}",0,,0,,0,,0,
completion,run_22,4639c6b2831598cd3412c34edb252a58,6,6,0,0,0,planning_schema_key,planning,False,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,1,2,2,1,True,1,1,1,1,1,True,0,,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",5,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'firstName', 'value': 'John'}",0,,0,,0,,0,
completion,run_23,3a45095b2e35a77f4d1441f9a58b17b2,6,6,0,0,0,planning_schema_key,planning,False,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",3,1,3,3,1,True,1,1,1,1,1,True,0,,2,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",4,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'name', 'value': 'John Doe'}",0,,0,,0,,0,
completion,run_24,47cc6be7be0bd36ba3e16568f35d9c7b,6,6,0,0,0,planning_schema_key,planning,False,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",3,1,3,3,1,True,1,1,1,1,1,True,0,,2,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",4,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'name', 'value': 'John Doe'}",0,,0,,0,,0,
completion,run_25,4a5e59c0f1eb78058db539cf83f5ba19,5,5,0,0,0,planning_schema_key,planning,False,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,1,2,2,1,True,1,1,1,1,1,True,0,,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",4,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'name', 'value': 'John Doe'}",0,,0,,0,,0,
completion,run_26,b19e90a43965675623a28257d75ab3f8,7,7,0,0,0,planning_schema_key,planning,False,2,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",1,2,4,4,2,True,1,1,1,1,1,True,1,"LLM did not return JSON array. Raw:  [   {""tool"": ""fill"", ""key"": ""firstName"", ""value"": ""John""},   {""tool"": ""fill"", ""key"": ""lastName"", ""value"": ""Doe""},   {""tool"": ""select"", ""key"": ""gender"", ""value"": ""Male""},   {""tool"": ""s",3,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",3,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'name', 'value': 'John Doe'}",0,,0,,0,,0,
completion,run_27,b99a1ffd8aae43e0b4df92589bb59107,5,5,0,0,0,planning_schema_key,planning,False,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,1,2,2,1,True,1,1,1,1,1,True,0,,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",4,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'name', 'value': 'John Doe'}",0,,0,,0,,0,
completion,run_28,304ed20a2ffdde510bec241b17a0fbb0,8,8,0,0,0,planning_schema_key,planning,False,2,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",1,2,4,4,2,True,2,1,2,2,1,True,0,,4,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",4,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'name', 'value': 'John Doe'}",0,,0,,0,,0,
completion,run_29,6604876d1a1b7cf0d66895c0613f6569,6,6,0,0,0,planning_schema_key,planning,False,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",3,1,3,3,1,True,1,1,1,1,1,True,0,,2,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",4,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'name', 'value': 'John Doe'}",0,,0,,0,,0,
completion,run_30,4e6fd3c0ef6d252ceae455aa3e10b4d8,5,5,0,0,0,planning_schema_key,planning,False,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,1,2,2,1,True,1,1,1,1,1,True,0,,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",4,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'name', 'value': 'John Doe'}",0,,0,,0,,0,
completion,run_31,e80b25f891f222e482bca046b10ddbbb,5,5,0,0,0,planning_schema_key,planning,False,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,1,2,2,1,True,1,1,1,1,1,True,0,,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",4,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'name', 'value': 'John Doe'}",0,,0,,0,,0,
completion,run_32,d7d37eb028469fa1a07daadf7fff0b8a,8,8,0,0,0,planning_schema_key,planning,False,2,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,1,2,2,1,True,1,1,1,1,1,True,0,,3,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",5,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'firstName', 'value': 'John'}",0,,0,,0,,0,
completion,run_33,e29bcff6c82087d7f23d92694b3a8b11,5,5,0,0,0,planning_schema_key,planning,False,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,1,2,2,1,True,1,1,1,1,1,True,0,,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",4,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'name', 'value': 'John Doe'}",0,,0,,0,,0,
completion,run_34,93bed0d30225c4ec47229da09eff43f9,5,5,0,0,0,planning_schema_key,planning,False,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,1,2,2,1,True,1,1,1,1,1,True,0,,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",4,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'name', 'value': 'John Doe'}",0,,0,,0,,0,
completion,run_35,f14f3d057487099c4b1370464853393b,8,8,0,0,0,planning_schema_key,planning,False,2,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,1,2,2,1,True,1,1,1,1,1,True,0,,3,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",5,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'name', 'value': 'John Doe'}",0,,0,,0,,0,
completion,run_36,d8f166f90c652e7ffcff29dbba226f9a,5,5,0,0,0,planning_schema_key,planning,False,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,1,2,2,1,True,1,1,1,1,1,True,0,,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",4,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'name', 'value': 'John Doe'}",0,,0,,0,,0,
completion,run_37,771968e9212009a5d61df896cf568fb2,7,7,0,0,0,planning_schema_key,planning,False,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,1,2,2,1,True,3,1,3,3,1,True,0,,3,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",4,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'name', 'value': 'John Doe'}",0,,0,,0,,0,
completion,run_38,303965747f37eceaeb7cdabd0ca487c8,5,5,0,0,0,planning_schema_key,planning,False,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,1,2,2,1,True,1,1,1,1,1,True,0,,1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",4,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'name', 'value': 'John Doe'}",0,,0,,0,,0,
