mode,run_name,run_dir,session_id,plan_reject_count,planning_failure_count,answer_failure_count,infra_failure_count,other_failure_count,dominant_category,dominant_failure_type,stalled,empty_plan_count,first_error,text_success_attempt,text_success_observe_index,text_total_attempts_until_success,text_total_attempts_observed,text_observe_blocks,text_success_found,image_success_attempt,image_success_observe_index,image_total_attempts_until_success,image_total_attempts_observed,image_observe_blocks,image_success_found,category_planning_format,sample_planning_format,category_planning_completeness,sample_planning_completeness,category_planning_schema_key,sample_planning_schema_key,category_answer_option_mapping,sample_answer_option_mapping,category_answer_value_constraints,sample_answer_value_constraints,category_infra_or_transport,sample_infra_or_transport,category_other,sample_other
completion,run_1,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v1\meta-llama-3-8b-instruct\completion\run_1,151d00799d7185afd605762bd9dbc6da,1,0,1,0,0,answer_value_constraints,answer,False,1,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'field_10', 'value': ''}",1,1,1,1,1,True,2,1,2,2,1,True,0,,0,,0,,0,,1,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'field_10', 'value': ''}",0,,0,
completion,run_2,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v1\meta-llama-3-8b-instruct\completion\run_2,4ca010d41dd95052c1a58d02581d19f5,4,0,4,0,0,answer_value_constraints,answer,False,2,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",2,2,5,5,2,True,1,1,1,1,1,True,0,,0,,0,,1,"Check value must match ACTION_SPACE option label/value: {'tool': 'check', 'key': 'trust_coverage', 'value': ''}",3,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
completion,run_3,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v1\meta-llama-3-8b-instruct\completion\run_3,9da00118cb9c005fe5150ff102792bb1,4,0,4,0,0,answer_value_constraints,answer,False,2,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",1,2,4,4,2,True,2,1,2,2,1,True,0,,0,,0,,0,,4,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
completion,run_4,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v1\meta-llama-3-8b-instruct\completion\run_4,bbb3d26d073a1a9c98f20f69547bca6d,2,0,2,0,0,answer_value_constraints,answer,False,1,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",2,1,2,2,1,True,2,1,2,2,1,True,0,,0,,0,,0,,2,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
completion,run_5,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v1\meta-llama-3-8b-instruct\completion\run_5,e050a61853f9f551f89bfb66cba1eb88,5,0,5,0,0,answer_value_constraints,answer,False,2,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",2,2,5,5,2,True,2,1,2,2,1,True,0,,0,,0,,0,,5,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
completion,run_6,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v1\meta-llama-3-8b-instruct\completion\run_6,9031d8780791e7f93716bd21c46002fe,2,0,2,0,0,answer_value_constraints,answer,False,1,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",2,1,2,2,1,True,2,1,2,2,1,True,0,,0,,0,,0,,2,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
completion,run_7,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v1\meta-llama-3-8b-instruct\completion\run_7,f8b9db32d2b743fccddead5865e6235d,2,0,2,0,0,answer_value_constraints,answer,False,1,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",2,1,2,2,1,True,2,1,2,2,1,True,0,,0,,0,,0,,2,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
completion,run_8,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v1\meta-llama-3-8b-instruct\completion\run_8,65d63d62a7313974b1b051af9220f48f,3,0,3,0,0,answer_value_constraints,answer,False,1,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",2,1,2,2,1,True,3,1,3,3,1,True,0,,0,,0,,0,,3,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
completion,run_9,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v1\meta-llama-3-8b-instruct\completion\run_9,e2d5ffab8fe4643d2ac2a953d520d91e,4,1,3,0,0,answer_value_constraints,answer,False,2,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",1,2,4,4,2,True,2,1,2,2,1,True,0,,1,Completion mode requires exactly one final navigation click (next/submit); found 0.,0,,0,,3,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
completion,run_10,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v1\meta-llama-3-8b-instruct\completion\run_10,b11311357f392c5b92345e97bf58b7fb,3,0,3,0,0,answer_value_constraints,answer,False,1,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",3,1,3,3,1,True,2,1,2,2,1,True,0,,0,,0,,0,,3,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
