mode,run_name,session_id,plan_reject_count,planning_failure_count,answer_failure_count,infra_failure_count,other_failure_count,dominant_category,dominant_failure_type,stalled,empty_plan_count,first_error,text_success_attempt,text_success_observe_index,text_total_attempts_until_success,text_total_attempts_observed,text_observe_blocks,text_success_found,image_success_attempt,image_success_observe_index,image_total_attempts_until_success,image_total_attempts_observed,image_observe_blocks,image_success_found,category_planning_format,sample_planning_format,category_planning_completeness,sample_planning_completeness,category_planning_schema_key,sample_planning_schema_key,category_answer_option_mapping,sample_answer_option_mapping,category_answer_value_constraints,sample_answer_value_constraints,category_infra_or_transport,sample_infra_or_transport,category_other,sample_other
completion,run_1,bdefb17c12fefa7b4e86fc2e41bc4075,6,6,0,0,0,planning_completeness,planning,False,3,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",1,2,4,4,2,True,1,2,4,4,2,True,0,,6,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,0,,0,,0,,0,
completion,run_2,c2f23fd51aa873622c7662956bc98e0e,19,17,2,0,0,planning_completeness,planning,True,6,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,2,5,5,2,True,,,,15,5,False,0,,10,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",7,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'q1_a'}",2,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'image_q1'}",0,,0,,0,
completion,run_3,007495e1b2683841a9850fc9b4ac52e4,17,17,0,0,0,planning_schema_key,planning,True,5,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],3,1,3,3,1,True,,,,15,5,False,0,,4,Completion mode requires answering all answerable items before navigation; missing keys: ['attention_text_mid'],13,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'image_q1_q1_b'}",0,,0,,0,,0,
completion,run_4,e344bb27b519416bdd627962ea639b5a,6,6,0,0,0,planning_completeness,planning,False,3,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",1,2,4,4,2,True,1,2,4,4,2,True,0,,6,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,0,,0,,0,,0,
completion,run_5,a7a9fdecc2f2316927501adbb4ea3aa3,15,15,0,0,0,planning_completeness,planning,True,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",,,,15,5,False,,,,0,0,False,0,,15,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,0,,0,,0,,0,
completion,run_6,2aaf9df3b941903c8b0feac9000371ea,14,14,0,0,0,planning_completeness,planning,False,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,3,8,8,3,True,2,3,8,8,3,True,0,,11,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",3,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'trust_coverage >> nth=3'}",0,,0,,0,,0,
completion,run_7,aab8997459ab756941ded942fdc94044,13,13,0,0,0,planning_completeness,planning,False,4,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact', 'favorite_moment']",3,3,9,9,3,True,3,2,6,6,2,True,0,,12,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact', 'favorite_moment']",1,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'image_q1_q1_b'}",0,,0,,0,,0,
completion,run_8,c1d243575b335b8e140aeec918768d3c,15,15,0,0,0,planning_format,planning,True,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",,,,15,5,False,,,,0,0,False,13,"VLM did not return JSON array. Raw: [   {""tool"":""fill"",""key"":""age"",""value"":25},   {""tool"":""select"",""key"":""follow_by_age"",""value"":""very_closely""},   {""tool"":""select"",""key"":""employment_status"",""value"":""student""},   {""tool""",2,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,0,,0,,0,,0,
completion,run_9,57eefea03a1543a1b13e41d2f52b57d1,20,19,1,0,0,planning_completeness,planning,False,7,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",3,3,9,9,3,True,1,5,13,13,5,True,0,,19,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",0,,1,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'attention_image_mid'}",0,,0,,0,
completion,run_10,b19cd1075831da7a6eff9dc1b00efddf,19,19,0,0,0,planning_completeness,planning,False,7,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",2,3,8,8,3,True,1,5,13,13,5,True,0,,12,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact']",7,"Key not in ACTION_SPACE: {'tool': 'click', 'key': 'image_q1_q1_a'}",0,,0,,0,,0,
