mode,run_name,run_dir,session_id,plan_reject_count,planning_failure_count,answer_failure_count,infra_failure_count,other_failure_count,dominant_category,dominant_failure_type,stalled,empty_plan_count,first_error,text_success_attempt,text_success_observe_index,text_total_attempts_until_success,text_total_attempts_observed,text_observe_blocks,text_success_found,image_success_attempt,image_success_observe_index,image_total_attempts_until_success,image_total_attempts_observed,image_observe_blocks,image_success_found,category_planning_format,sample_planning_format,category_planning_completeness,sample_planning_completeness,category_planning_schema_key,sample_planning_schema_key,category_answer_option_mapping,sample_answer_option_mapping,category_answer_value_constraints,sample_answer_value_constraints,category_infra_or_transport,sample_infra_or_transport,category_other,sample_other
completion,run_1,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\minicpm-v-2_6\completion\run_1,4d392e7788d2269b0f6ec4f5a7659453,15,8,7,0,0,planning_format,planning,True,5,"Number value below min constraint: {'tool': 'select', 'key': 'age', 'value': '9'}",,,,15,5,False,,,,0,0,False,5,"VLM did not return JSON array. Raw: [   {""tool"": ""fill"", ""key"": ""age"", ""value"": ""9""},   {""tool"": ""select"", ""key"": ""trust_coverage"", ""value"": ""Strongly disagree""},   {""tool"": ""set_range"", ""key"": ""watch_time"", ""value"": ""1.",3,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact', 'age', 'follow_by_age', 'employment_status', 'attention_text_mid', 'future_interest', 'favorite_m",0,,3,"Select value must match ACTION_SPACE option: {'tool': 'select', 'key': 'future_interest', 'value': 'Strongly likely'}",4,"Number value below min constraint: {'tool': 'select', 'key': 'age', 'value': '9'}",0,,0,
completion,run_2,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\minicpm-v-2_6\completion\run_2,51c4a23d733ae8042c4ec97627895bef,15,9,6,0,0,planning_completeness,planning,True,5,"Each step must be an object, got: 'fill'",,,,15,5,False,,,,0,0,False,2,"Each step must be an object, got: 'fill'",7,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact', 'age', 'follow_by_age', 'employment_status', 'watch_time', 'attention_text_mid', 'country_satisfa",0,,0,,6,"Missing/invalid value for fill: {'tool': 'click', 'key': 'age'}",0,,0,
completion,run_3,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\minicpm-v-2_6\completion\run_3,8d4aae6be7e1e9c75673c936aeb631e0,15,2,13,0,0,answer_value_constraints,answer,True,5,"Number value below min constraint: {'tool': 'select', 'key': 'age', 'value': '1'}",,,,15,5,False,,,,0,0,False,0,,2,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact', 'follow_by_age', 'employment_status', 'watch_time', 'attention_text_mid', 'country_satisfaction',",0,,0,,13,"Number value below min constraint: {'tool': 'select', 'key': 'age', 'value': '1'}",0,,0,
completion,run_4,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\minicpm-v-2_6\completion\run_4,bb5ca04564bf7e1c3cabbedb475d7cf3,15,10,5,0,0,planning_completeness,planning,True,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact', 'age', 'follow_by_age', 'employment_status', 'watch_time', 'attention_text_mid', 'country_satisfaction', 'future_interest', 'favorite_moment']",,,,15,5,False,,,,0,0,False,3,"Model output must be a JSON array, got: dict",7,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact', 'age', 'follow_by_age', 'employment_status', 'watch_time', 'attention_text_mid', 'country_satisfa",0,,0,,5,"Number value below min constraint: {'tool': 'fill', 'key': 'age', 'value': '1'}",0,,0,
completion,run_5,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\minicpm-v-2_6\completion\run_5,b1c81814952bef25975ec0351b5a7049,15,9,6,0,0,answer_value_constraints,planning,True,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact', 'favorite_moment']",,,,15,5,False,,,,0,0,False,3,"VLM did not return JSON array. Raw: {   ""actions"": [     {""tool"": ""click"", ""key"": ""next""},     {""tool"": ""fill"", ""key"": ""trust_coverage"", ""value"": ""Strongly disagree""},     {""tool"": ""fill"", ""key"": ""mood_impact"", ""value"": ",6,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact', 'favorite_moment']",0,,0,,6,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
completion,run_6,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\minicpm-v-2_6\completion\run_6,1d997ce3254eeef4b7534ffe3e047c44,15,13,2,0,0,planning_format,planning,True,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact', 'follow_by_age', 'employment_status', 'watch_time', 'attention_text_mid', 'country_satisfaction', 'future_interest', 'favorite_moment']",,,,15,5,False,,,,0,0,False,11,"VLM did not return JSON array. Raw: [{""tool"":""set_range"",""key"":""watch_time"",""value"":1.0},{""tool"":""select"",""key"":""follow_by_age"",""value"":""highlights_only""},{""tool"":""check"",""key"":""trust_coverage"",""value"":""Strongly disagree",2,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact', 'follow_by_age', 'employment_status', 'watch_time', 'attention_text_mid', 'country_satisfaction',",0,,0,,2,"Missing/invalid value for fill: {'tool': 'fill', 'key': 'age', 'value': ''}",0,,0,
completion,run_7,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\minicpm-v-2_6\completion\run_7,75a304587a23e880ce961efef2a7e9fb,15,13,2,0,0,planning_format,planning,True,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact', 'attention_text_mid']",,,,15,5,False,,,,0,0,False,10,"VLM did not return JSON array. Raw: Here is the updated JSON array based on your feedback:  ```json [   {""tool"": ""fill"", ""key"": ""age"", ""value"": ""1""},   {""tool"": ""select"", ""key"": ""follow_by_age"", ""value"": ""highlights_only",3,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact', 'attention_text_mid']",0,,0,,2,"Number value below min constraint: {'tool': 'fill', 'key': 'age', 'value': '1'}",0,,0,
completion,run_8,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\minicpm-v-2_6\completion\run_8,b0fcb9dbf96be9b4cfa25065764a092a,15,8,7,0,0,answer_option_mapping,planning,True,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact', 'attention_text_mid']",,,,15,5,False,,,,0,0,False,4,"VLM did not return JSON array. Raw: [   {""tool"":""fill"",""key"":""age"",""value"":""18""},   {""tool"":""select"",""key"":""follow_by_age"", ""value"":'highlights_only'},   {""tool"":""select"",""key"":""employment_status"", ""value"":'self_employed",4,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact', 'attention_text_mid']",0,,7,"Select value must match ACTION_SPACE option: {'tool': 'set_range', 'key': 'attention_text_mid', 'value': 'Neutral'}",0,,0,,0,
completion,run_9,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\minicpm-v-2_6\completion\run_9,dcc5c411c2e0112994313bb30bbc06d3,15,10,5,0,0,planning_format,planning,True,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact', 'employment_status', 'attention_text_mid', 'country_satisfaction', 'future_interest', 'favorite_moment']",,,,15,5,False,,,,0,0,False,9,"VLM did not return JSON array. Raw: [   {""tool"": ""click"", ""key"": ""next""},   {     ""tool"": ""select"",     ""key"": ""trust_coverage"",     ""value"": ""Strongly agree""   },   {     ""tool"": ""select"",     ""key"": ""mood_impact"",     ",1,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact', 'employment_status', 'attention_text_mid', 'country_satisfaction', 'future_interest', 'favorite_m",0,,0,,5,"Number value below min constraint: {'tool': 'fill', 'key': 'age', 'value': '1'}",0,,0,
completion,run_10,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v0\minicpm-v-2_6\completion\run_10,31b78a26a262f30a982a2c77e4d8de03,15,9,6,0,0,answer_value_constraints,planning,True,5,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact', 'age', 'follow_by_age', 'employment_status', 'watch_time', 'attention_text_mid', 'country_satisfaction', 'future_interest', 'favorite_moment']",,,,15,5,False,,,,0,0,False,5,"VLM did not return JSON array. Raw: [   {""tool"": ""click"", ""key"": ""next""},   {""tool"": ""set_range"", ""key"": ""watch_time"", ""value"": 1},   {""tool"": ""select"", ""key"": ""follow_by_age"", ""value"": ""highlights_only""},   {""tool"": ""fi",4,"Completion mode requires answering all answerable items before navigation; missing keys: ['trust_coverage', 'mood_impact', 'age', 'follow_by_age', 'employment_status', 'watch_time', 'attention_text_mid', 'country_satisfa",0,,1,"Select value must match ACTION_SPACE option: {'tool': 'fill', 'key': 'attention_text_mid', 'value': 'Neutral'}",5,"Number value below min constraint: {'tool': 'fill', 'key': 'age', 'value': '1'}",0,,0,
