mode,run_name,run_dir,session_id,plan_reject_count,planning_failure_count,answer_failure_count,infra_failure_count,other_failure_count,dominant_category,dominant_failure_type,stalled,empty_plan_count,first_error,text_success_attempt,text_success_observe_index,text_total_attempts_until_success,text_total_attempts_observed,text_observe_blocks,text_success_found,image_success_attempt,image_success_observe_index,image_total_attempts_until_success,image_total_attempts_observed,image_observe_blocks,image_success_found,category_planning_format,sample_planning_format,category_planning_completeness,sample_planning_completeness,category_planning_schema_key,sample_planning_schema_key,category_answer_option_mapping,sample_answer_option_mapping,category_answer_value_constraints,sample_answer_value_constraints,category_infra_or_transport,sample_infra_or_transport,category_other,sample_other
completion,run_1,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v1\qwen2.5-7b-instruct-1m\completion\run_1,5be23876a2ed0fa0cf2583f6bf3b2733,0,0,0,0,0,,,False,1,,1,1,1,1,1,True,1,1,1,1,1,True,0,,0,,0,,0,,0,,0,,0,
completion,run_2,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v1\qwen2.5-7b-instruct-1m\completion\run_2,6cd292a525ddf589938e36c4449d2f1a,11,11,0,0,0,planning_completeness,planning,False,4,"Completion mode requires answering all answerable items before navigation; missing keys: ['employment_status', 'attention_text_mid']",2,4,11,11,4,True,2,1,2,2,1,True,0,,11,"Completion mode requires answering all answerable items before navigation; missing keys: ['employment_status', 'attention_text_mid']",0,,0,,0,,0,,0,
completion,run_3,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v1\qwen2.5-7b-instruct-1m\completion\run_3,16cd80584759be71ef53d751460c0c39,11,11,0,0,0,planning_completeness,planning,False,3,"Completion mode requires answering all answerable items before navigation; missing keys: ['mood_impact', 'employment_status']",3,3,9,9,3,True,2,1,2,2,1,True,2,"LLM did not return JSON array. Raw: [""{""tool"":""click"",""key"":""submit""}""]",9,"Completion mode requires answering all answerable items before navigation; missing keys: ['mood_impact', 'employment_status']",0,,0,,0,,0,,0,
completion,run_4,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v1\qwen2.5-7b-instruct-1m\completion\run_4,8dcf7ef6b7a46ab8829fd1b1ea7ef018,5,5,0,0,0,planning_completeness,planning,False,2,Completion mode requires answering all answerable items before navigation; missing keys: ['employment_status'],1,2,4,4,2,True,2,1,2,2,1,True,1,"Each step must be an object, got: '{""tool"":""click"",""key"":""submit""}'",3,Completion mode requires answering all answerable items before navigation; missing keys: ['employment_status'],1,"Key not in ACTION_SPACE: {'tool': 'fill', 'key': 'q_age', 'value': 25}",0,,0,,0,,0,
completion,run_5,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v1\qwen2.5-7b-instruct-1m\completion\run_5,1b262cc7e62960d4968b3f46a9634e4a,2,2,0,0,0,planning_completeness,planning,False,1,Completion mode requires exactly one final navigation click (next/submit); found 0.,3,1,3,3,1,True,1,1,1,1,1,True,0,,2,Completion mode requires exactly one final navigation click (next/submit); found 0.,0,,0,,0,,0,,0,
completion,run_6,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v1\qwen2.5-7b-instruct-1m\completion\run_6,4308714e52f88181bd50a4defb51ca74,1,1,0,0,0,planning_completeness,planning,False,1,Completion mode requires exactly one final navigation click (next/submit); found 0.,1,1,1,1,1,True,2,1,2,2,1,True,0,,1,Completion mode requires exactly one final navigation click (next/submit); found 0.,0,,0,,0,,0,,0,
completion,run_7,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v1\qwen2.5-7b-instruct-1m\completion\run_7,9735c0a447c49eb8d110004d2945adbb,1,0,1,0,0,answer_option_mapping,answer,False,1,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'attention_image_mid'}",1,1,1,1,1,True,2,1,2,2,1,True,0,,0,,0,,1,"Check value must match ACTION_SPACE option label/value: {'tool': 'click', 'key': 'attention_image_mid'}",0,,0,,0,
completion,run_8,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v1\qwen2.5-7b-instruct-1m\completion\run_8,bff701d3408fd9363520d9c3c9360596,0,0,0,0,0,,,False,1,,1,1,1,1,1,True,1,1,1,1,1,True,0,,0,,0,,0,,0,,0,,0,
completion,run_9,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v1\qwen2.5-7b-instruct-1m\completion\run_9,45e5fc024fa4b45347d77c7dde23c0c7,2,2,0,0,0,planning_completeness,planning,False,1,Completion mode requires exactly one final navigation click (next/submit); found 0.,3,1,3,3,1,True,1,1,1,1,1,True,0,,2,Completion mode requires exactly one final navigation click (next/submit); found 0.,0,,0,,0,,0,,0,
completion,run_10,C:\VSCode Workspace\Attention Agents\Agent\runs\survey_v1\qwen2.5-7b-instruct-1m\completion\run_10,56a8f0f818faae8b0cb221480567fa13,1,1,0,0,0,planning_completeness,planning,False,1,Completion mode requires exactly one final navigation click (next/submit); found 0.,1,1,1,1,1,True,2,1,2,2,1,True,0,,1,Completion mode requires exactly one final navigation click (next/submit); found 0.,0,,0,,0,,0,,0,
